id,word
1,<sos>
2,<eos>
3,<unk>
4,<
5,u
6,r
7,l
8,>
9,h
10,t
11,p
12,:
13,/
14,w
15,.
16,e
17,d
18,c
19,o
20,m
21,a
22,k
23,s
24,v
25,i
26,_
27,g
28,n
29,f
30,y
31,","
32,T
33,E
34,D
35,C
36,b
37,G
38,3
39,4
40,深
41,海
42,中
43,的
44,生
45,命
46,－
47,大
48,卫
49,盖
50,罗
51,通
52,过
53,潜
54,水
55,艇
56,拍
57,下
58,影
59,片
60,把
61,我
62,们
63,带
64,到
65,了
66,地
67,球
68,最
69,黑
70,暗
71,，
72,险
73,恶
74,同
75,时
76,也
77,美
78,丽
79,物
80,栖
81,息
82,。
83,这
84,里
85,是
86,洋
87,处
88,峡
89,谷
90,和
91,火
92,山
93,脊
94,怪
95,诞
96,适
97,应
98,力
99,强
100,而
101,且
102,数
103,量
104,惊
105,人
106,：
107,位
108,比
109,尔
110,兰
111,格
112,将
113,用
114,一
115,些
116,来
117,讲
118,述
119,故
120,事
121,有
122,不
123,少
124,精
125,彩
126,泰
127,坦
128,尼
129,克
130,可
131,惜
132,您
133,今
134,天
135,看
136,号
137,拿
138,票
139,房
140,冠
141,军
142,但
143,实
144,上
145,它
146,并
147,关
148,于
149,刺
150,激
151,原
152,因
153,在
154,直
155,没
156,当
157,回
158,儿
159,家
160,想
161,占
162,面
163,积
164,7
165,5
166,％
167,部
168,分
169,都
170,平
171,均
172,度
173,两
174,英
175,你
176,站
177,滩
178,或
179,图
180,像
181,着
182,么
183,蓝
184,色
185,泛
186,光
187,断
188,变
189,动
190,会
191,浪
192,波
193,涛
194,又
195,涨
196,潮
197,却
198,知
199,道
200,底
201,什
202,其
203,长
204,脉
205,活
206,多
207,震
208,喷
209,发
210,样
211,性
212,密
213,要
214,雨
215,林
216,还
217,高
218,基
219,本
220,被
221,开
222,景
223,吸
224,引
225,所
226,熟
227,告
228,诉
229,边
230,对
231,个
232,完
233,全
234,陌
235,世
236,界
237,得
238,非
239,常
240,特
241,殊
242,仪
243,器
244,才
245,能
246,达
247,那
248,A
249,摄
250,机
251,索
252,共
253,研
254,马
255,塞
256,普
257,鲁
258,斯
259,说
260,""""
261,真
262,正
263,探
264,之
265,旅
266,为
267,新
268,现
269,找
270,视
271,角
272,合
273,作
274,帮
275,仅
276,哪
277,已
278,经
279,存
280,观
281,重
282,认
283,识
284,身
285,只
286,母
287,喜
288,欢
289,以
290,伸
291,展
292,1
293,0
294,尺
295,东
296,西
297,吗
298,？
299,鱼
300,饵
301,浮
302,摇
303,晃
304,旋
305,转
306,触
307,种
308,群
309,由
310,单
311,独
312,结
313,起
314,就
315,成
316,前
317,推
318,进
319,擎
320,如
321,果
322,类
323,放
324,端
325,然
326,后
327,状
328,另
329,x
330,翼
331,死
332,亡
333,荧
334,伴
335,侣
336,食
337,交
338,流
339,办
340,法
341,从
342,档
343,案
344,介
345,绍
346,小
347,形
348,各
349,异
350,忘
351,好
352,几
353,三
354,百
355,很
356,解
357,往
358,太
359,微
360,维
361,空
362,间
363,定
364,听
365,巨
366,型
367,章
368,张
